video_id,comment
EL7OF3Kqw-4,"चलचित्र बसन्तमा रहेको एउटा गीत ""मोटर"" को लिरिकल भिडियो सार्वजनिक गरेका छौँ, चलचित्र बसन्त यहाँहरुको नजिकको हलहरुमा लागिरहेको छ, हेरेर कस्तो लाग्यो प्रतिक्रिया दिन नभुल्नुहोला।"
EL7OF3Kqw-4,Prakash dai is My best hearing in Nepal❤❤ ❤❤❤❤❤❤❤you are. Besthearo Prakash. Dai❤❤❤❤❤❤😂😂😂😂😂😂😂😂😂
EL7OF3Kqw-4,jay Prakash saput
EL7OF3Kqw-4,jay jay basanta filim Prakash saput
EL7OF3Kqw-4,Amezig dada ko song
EL7OF3Kqw-4,Wow just wow
EL7OF3Kqw-4,Mero best singar parkash saput
EL7OF3Kqw-4,Songs are really nice heart touching plz we need other songs as well plzzz as soon as possible 🙏🙏
EL7OF3Kqw-4,Dherai ramro song chha ❤❤
EL7OF3Kqw-4,Mysupi to gxhk
EL7OF3Kqw-4,Wordings are great in the song. Love it🙏🏻
EL7OF3Kqw-4,कबड्डी 4 नेपाली फिल्म को केसरी सङ्ग मिल्छ music copy
EL7OF3Kqw-4,So beautiful ❤🎉
EL7OF3Kqw-4,very nice song best wishes for basanta
EL7OF3Kqw-4,https://youtu.be/CTbuTIWvOaE?si=qLr3aNKsc83FL77G
EL7OF3Kqw-4,क्या शब्द 😢❤
EL7OF3Kqw-4,हा..क.. थु
EL7OF3Kqw-4,Sathi wala gana kaily aauxa Prakash daii
EL7OF3Kqw-4,Supp song
EL7OF3Kqw-4,Parksha saput ko all geet harana maxne aha aunu hos ta please ❤
EL7OF3Kqw-4,https://youtu.be/qGb6SxwsZNs?si=4jTJHj-vmuU2U8ui
EL7OF3Kqw-4,Yo kp ko jhole lai unsubscribe gara kta ho tmi haru yedi sachha nepali hau bhane
EL7OF3Kqw-4,Yo kp ko jhole lai unsubscribe gara kta ho tmi haru yedi sachha nepali hau bhane
EL7OF3Kqw-4,Muji radi ko xoro
EL7OF3Kqw-4,wau best songs tyo vanda pani basanta movie dami xa ekchoti hernu hola sabaile
EL7OF3Kqw-4,Kati mito geet dhanyabad prrakash sir🎉❤
