comment,Label,Score,Sentiment
" shyness !!! Pure organic ! Hats up to singer duo .""",5 stars,0.49014660716056824,Very Positive
" Kabita your dancing is so nice and looking beautiful..wish you all the best forever....from UK""",5 stars,0.7141510844230652,Very Positive
" म प्रतिक्रिया दिन चाहिन। शुभकामना सबै टिमलाई 💐""",5 stars,0.623855471611023,Very Positive
"अनि अब निर्देशनमा अब्बल छु भनेर प्रमाणित गरिदिए ! अञ्जलि अधिकारी नृत्यांगना मात्रै हैनन यस्ता मन छुने  अभिनय गर्न पनि पोख्त छन भनेर यश भिडियोबाट साबित हुन्छ !!""",2 stars,0.3659124970436096,Negative
तराई कोहि छैन पराई,3 stars,0.385151207447052,Neutral
" nice song and nice video ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️""",4 stars,0.4837186336517334,Positive
" कुरिति मुर्दाबाद😢""",5 stars,0.30614835023880005,Very Positive
" no words to say..... Love it !!!""",5 stars,0.9016831517219543,Very Positive
 सबैले हेरेर प्रतिक्रिया दिनु होला! धन्यवाद ,5 stars,0.446146160364151,Very Positive
 Choreography ani Lead dancers ko rythm,3 stars,0.36279743909835815,Neutral
" environment so well framed thanks to all unit and participants.""",5 stars,0.6516029834747314,Very Positive
" नाचौं नाचौं पनि लाग्यो र घरिघरि हांसो पनि लायो ।। गज्जब""",5 stars,0.4928075671195984,Very Positive
"""",3 stars,0.22428537905216217,Neutral
"good""",4 stars,0.5031304955482483,Positive
" outstanding""",5 stars,0.8189399838447571,Very Positive
" kaise le e fake samaj Ka dar le vanna sakdena..""",2 stars,0.35031887888908386,Negative
" ढिलोचाँडो यो अवसर मिल्नेछ ।।""",5 stars,0.4362814724445343,Very Positive
" great going Prakash Saupt you have been talking folk songs tune to pop music as Nepathya did.""",5 stars,0.6365653872489929,Very Positive
"""",3 stars,0.22428537905216217,Neutral
" part 2 🎉""",4 stars,0.2936301529407501,Positive
"Aanjali Aadhikari sabai Jana lai congrtulation . mithoo xa Aawaz ani acting supope best of luck.""",1 star,0.4943571984767914,Very Negative
"saput""",1 star,0.2876809239387512,Very Negative
"well done and thank you for this""",5 stars,0.7194138765335083,Very Positive
"compose & real concept hats off to you guyzz entire team best wishes""",5 stars,0.5246244072914124,Very Positive
"🙏छ।।। मेरो प्यारो प्रकाश दादा लाइ न्यानो माया छ।। ❤️❤️💙❤️""",5 stars,0.510741651058197,Very Positive
 Sabai le dhardhari ruwaYo 😭😭,3 stars,0.27842214703559875,Neutral
"कति रुन पर्ने हो ।अब पनि दाइ को फुटेका चुरा गीत यहि मंसिर १५ आउदै छ अनि त्यसमा नि त्यसै कौतहला भै रहेको छ।र ढुक्क पनि छु त्यो गीत पनि बम्ब्लास्ट हुन्छ शुभकामना मेरो दाइ.....""",1 star,0.36030638217926025,Very Negative
" sojha ani sankat ma pareka ko faida uthauchhan. Tesma yo main female character ko k dosh..tyo situation ma puraune ta ti sabai khaate thula bhanauda haru hun. Kaslai chahi aafnu sareer bechera ramailo laagchha ra. Mero bichar ma ta sex worker bhanda ta hamra sirsha neta haru nai gayi gujreka chhan. Seriously great kudos to Prakashji for creating such an awesome song. I almost cried and really i connected with the main character. Well done. I support you Prakash ji. Keep up the good work.""",5 stars,0.38115835189819336,Very Positive
" धैर्यताले सधै सधै सफलताको शिखर चुमोस् । धेरै धेरै धेरै धेरै धन्यवाद भाइ ।। राम्रो अति राम्रो सृजनाको लागि ।।।।""",5 stars,0.5602710843086243,Very Positive
 ,4 stars,0.2846148908138275,Positive
" bachera raja vayera auda ramro sangha tarif garaula...""",1 star,0.39725133776664734,Very Negative
" पुन सफलता को सुभकामना""",5 stars,0.39127087593078613,Very Positive
मलाई पनि केहि  कूरा ग्रन मन लागेय,5 stars,0.3499106168746948,Very Positive
" यसको गीत र यसलाई सबैले पूर्ण रूपमा बहिष्कार गरौँ । अस्तिको बोतलको झटारो नपुगेको जस्तो छ।""",5 stars,0.47532662749290466,Very Positive
"अभिनय शोभनिय छ। मत हेरेर नै थाक्दैन भावुक  बनाउछ एकछिन त।""",3 stars,0.3473338782787323,Neutral
"  truthful and literally when I saw this my tears came out.💝💖💖💖💖 Best of the best song forever.😭😦💗💖""",5 stars,0.9074432849884033,Very Positive
"""",3 stars,0.22428537905216217,Neutral
"सम्पुर्ण ईन्टायर टिमलाई धेरै धेरै शुभकामना !!💑💞💕💕💕💘💘😍""",5 stars,0.4366287589073181,Very Positive
 Man kai safa navaye so tyo jabo dhan ko k kaam 👍👍👍👍,3 stars,0.30644306540489197,Neutral
"स्टोरि टेलिङ्।।स्वार अभिनय सबै कुरामा अब्बल""",5 stars,0.38998308777809143,Very Positive
"प्रकाश सपूत नेपाली गितसंङ्गित क्षेत्रको धरोहर बनिसकेका छ्न।एक पछि अर्को गर्दै हरेक सिर्जना ले यथार्थ लाई चित्रण गरेका हुन्छ्न जसले देश र जनताको यथार्थलाई निर्दिष्ट गरिएको हुन्छ ।आगामी यात्रा थप सफ़ल एवम् फलदायी बनुन हार्दिक शुभकामना छ।प्रकाश् दाइ।🙏🇳🇵❤️💐""",5 stars,0.4335758686065674,Very Positive
"परम्परालाई जोगाइराख्ने र समाजका विकृति विसंगतिलाई यति मर्मस्पर्शी ढंगवाट प्रहार गरी नेपाली लोक संगीतलाई काध थापेर नया पुस्तामाझ जीवन्त राखीराख्ने तपाइको यो योगदानको भोलि नेपाली लोक संगीतको इतिहासले युगौयुग अमर वनाइराख्ने छ।।""",5 stars,0.5419515371322632,Very Positive
" तेसैले बोल माया भन्नू भको भए राम्रो अतिनै""",3 stars,0.25377100706100464,Neutral
" पर्बत र गुल्मी जिल्लाको कोरस कलाकारहरुलाई धेरै धेरै धन्यवाद तथा शुभकामना !  यति राम्रो नाम चलेका कलाकारहरु प्रकाश सपुत र स्वस्तिमा खड्कासंग नाच्न पाउनु भयो 'वसन्त' चलचित्रको साँझ पर्यो झमक्क गितमा यो बडो खुशीको कुरा हो। ❤❤❤""",5 stars,0.2884204089641571,Very Positive
" for left a perfect lesson from filming.""",5 stars,0.47816383838653564,Very Positive
" yedi aatma haru sachai bhaye doshi lai yesari karwahi gardiye hunthyo.""",1 star,0.3415544629096985,Very Negative
" बाध्यतालाइ उजागर गरि मन रुवाउने मार्मिक गितका सर्जक प्रकाश सपुतलाइ धन्यवाद।।।""",5 stars,0.2633107900619507,Very Positive
"kti ramro yo dohori geet Galbandi😍😍""",1 star,0.3148554265499115,Very Negative
"kala rw saskriti Kai jagrena.... Nepal...biswha prkhayti ka mukh Mai saput so proud of you 💕💕😍 may god bless u 🙏🙏""",5 stars,0.651889443397522,Very Positive
" Prakash brother 🎊🎉""",5 stars,0.3569483757019043,Very Positive
"र आफ्नै देशमा मर्ने रहर कस्लाइ पो हुदैन होला र।""",1 star,0.47369131445884705,Very Negative
" अन्जली र सबै टिम  लाइ ।""",5 stars,0.36463457345962524,Very Positive
"साचिनै भन्नू पर्दा तपाईको नाम प्रकाश जो छ येसै गरिनै एस लोग संस्कृतिमा जगतमा प्रकाश छर्नु भाको छ्🙏🇳🇵😊❤️""",1 star,0.4274481236934662,Very Negative
"विभेद अत्याचारको बारेमा सङ्गितको माध्यम बाट बाहिर ल्याउनु भएको छ तपाईं प्रती उच्च सम्मान छ❤❤❤❤❤""",5 stars,0.2309616357088089,Very Positive
"  We are not progressing as well. Am I right?🤔🤔🤔🤔🤔""",2 stars,0.43536177277565,Negative
" अल्मोडा १ नं को चोर सपुत माहा चोर !""",1 star,0.41755545139312744,Very Negative
" Hajur haru lai manai dekhi dhanyabad. Music ko marfat bata hamro culture lai jiwit rakhnu bhako ma !""",1 star,0.5939949154853821,Very Negative
" विकास एवम प्रगती को सन्देश मुलक गीत दिनु भएको मा मुरि मुरि बधाई छ🌹🇳🇵🌹परदेशीनुको पछाडी को कथा👌👌👌👌 सम्पुर्ण समुह बधाई को पात्र हुनुहुन्छ्🌹🌹। आहा अति सुन्दर रचना। आगामी दिनमा तपाईंका कदम प्रगती पथमा लाम्कि रहुन शुभकामना छ्🌹। गीत संगीत क्षेत्र लाई सधै सफा राख्नु होला। 🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇮🇳🇮🇳🇳🇵🇳🇵🌹🌹🌹🌹❤️❤️🇳🇵🇳🇵""",5 stars,0.48728010058403015,Very Positive
" बोला माया २ चाडै सुन्न हेर्न पाउँ  गलबन्दी को हार्दिक शुभकामना छ।""",5 stars,0.26148733496665955,Very Positive
"कति मिठो स्वर उहाँको।सारै राम्रो ।""",5 stars,0.3723759651184082,Very Positive
" and different from other..❤❤❤✌✌✌""",5 stars,0.3638896942138672,Very Positive
"wowoww nice song""",5 stars,0.6139971017837524,Very Positive
" गजलहरु बनुन। आन्तरिक र बाह्य पर्यटन प्रवर्धनमा धेरथोर टेवा पुगोस। हाम्रो तर्फबाट चाहीं यो प्रयास निरन्तर रहनेछ किनकि “ प्रिय बागलुङ” पनि तयार भैसकेको छ । 🙏😍🇳🇵""",5 stars,0.4416375756263733,Very Positive
"तराई कोइ छैन पराई।मेरो पनि हैन र यो देश""",5 stars,0.46098020672798157,Very Positive
 किरिष्न जगत नाथौउ प्रेमा नद्धि❣️ ये  क्या हुवा  फलाम से पानि आगैया🙏गामछाबि खोल गया मेरा ❣️मेनटि यै थि😮🙈,5 stars,0.3307761549949646,Very Positive
" bahini haru lai aani uni haru ko Nepal ma rahe ko sampurna pariwar lai yesto muto chhune geet. kamjor muto huneharu le ta sayed yo geet herna pani saknu hunna hola. pida jaslai pare ko chha uslai matra thaha hunchha ki yo geet ko bastabikta ra sahi pida. Ek phera yo geet hamro nepali politician haru le pani herdinu bhayo bhane thaha huntyo ki janata kamauna janda ko habikat kasto hunchha bhane ra. jyadai marmik chha. sabai Nepali ra rajnitik netrito lai chetana bhaya.""",1 star,0.5360645055770874,Very Negative
" Congratulation and keep it up.""",5 stars,0.5416568517684937,Very Positive
 महिला अधिकार कर्मीको झडप । प्रहरीलाई छुट्याउन हम्मे हम्मे ।https://youtu.be/yXAB-knDn4w पुरा भिडियो हेर्न क्लिक गर्नुहोस्। र लकडाउन र  निषेधाज्ञा तोडदै नाटक देखाउने कलाकर्मी र अधिकारकर्मी बिरुद्द नियम उन्लघनको आरोप सहितको कारबाहीको मागको लागि एक सेयर गर्नुहोस।  ,5 stars,0.3670646548271179,Very Positive
" """" Kura bujnu parxa"""" 😃😄😃😃. Beside geet xai ramro xa.""",1 star,0.41312873363494873,Very Negative
"nd music director?""",1 star,0.42339593172073364,Very Negative
"सर्ब भवतु सर्ब मङगलम""",5 stars,0.32807236909866333,Very Positive
"धन्यवाद 🙏🙏""",5 stars,0.340964138507843,Very Positive
"💍💍💍💍❣️❣️❣️🍎🍎🙏🙏""",5 stars,0.2638106942176819,Very Positive
" kekijiko acting superb salam x hajurlai yo geetle itihas rachnex""",5 stars,0.6987087726593018,Very Positive
" we need more 😊""",3 stars,0.2709377706050873,Neutral
" मन अमिलो बनाइयो!!""",1 star,0.30951377749443054,Very Negative
" reality reveals.""",5 stars,0.30998754501342773,Very Positive
" best wishes Prakash ji and the entire team 🙏🙏""",5 stars,0.7067009210586548,Very Positive
हेर्न मन लाग्ने गीत प्रकाश सर हजुरकाे,5 stars,0.392892986536026,Very Positive
"हृदय छुनी""",1 star,0.388557493686676,Very Negative
" थाहै भएन..... ❤️❤️❤️""",2 stars,0.3675631880760193,Negative
" स्वर अनि भिडियो। सलाम छ प्रकाश भाइ ❤""",3 stars,0.27144283056259155,Neutral
"thanks prakash bro""",5 stars,0.39694565534591675,Very Positive
"074 views""",5 stars,0.3311561942100525,Very Positive
"आशा छ अझै बेजोड बेजोड प्रस्तुती हेर्न पाईनेछ।🙏❤️जय होस दाइ।""",2 stars,0.3551691174507141,Negative
"jai Nepal""",5 stars,0.23560450971126556,Very Positive
" के छोरो फर्केला🤔🤔 गलबन्दी २ को प्रतीक्षा कडा हुने भो बा""",3 stars,0.2525938153266907,Neutral
" r acchal didi hajurlae sadai maya x""",1 star,0.39112696051597595,Very Negative
" gorkhali vanaudo sub India Ra British ko gulo safa gardai thikxa""",1 star,0.5207550525665283,Very Negative
" we love u prakash sir ❤️🙏🥀""",5 stars,0.7577322125434875,Very Positive
"tfftft""",5 stars,0.25677138566970825,Very Positive
"2""",3 stars,0.24794378876686096,Neutral
" सबै पाखा लगाईएका महाराज हरु माथि आउनु पर्दछ । गित संगीत बाट शीघ्र चेतनाको स्तर उठाउन सकिन्छ। छुवाछुत उचनीच नै हाम्रो समाज बिकास को बाधक हो।""",5 stars,0.5829553604125977,Very Positive
"singer ko upadi from my side""",1 star,0.340511292219162,Very Negative
"music dherai ramro song banexa.... huna ta yo  tha vako kura prakash da ko song ma naya khe twist hunxa😍😍😍😍😍 😍""",1 star,0.3316291272640228,Very Negative
" Prakash Ji""",1 star,0.21076929569244385,Very Negative
"फिल्म लाईन तिर भैरहेको बास्तबिकता छर्लङ्ग उतारिएको छ। कथा संकलन  कर्तालाई सलौट् छ👍️""",1 star,0.5310539603233337,Very Negative
" ati sambandansil""",3 stars,0.2546566426753998,Neutral
" dharai dhari ramro""",5 stars,0.24562211334705353,Very Positive
"""",3 stars,0.22428537905216217,Neutral
" prakask ko creation waooooo really salute you all. I always pray for your success  . Sadhai bhari hamilai asari nai refresh banaunu la""",5 stars,0.7085892558097839,Very Positive
"""",3 stars,0.22428537905216217,Neutral
director,4 stars,0.3157992959022522,Positive
"   दाजुभाइ र दिदी बहिनीलाई यस महान चाड  विजया दशमीको उपलक्ष्यमा शुभकामना व्यक्त गर्दछु ।💓💓""",5 stars,0.6948540806770325,Very Positive
" हार्दिक शुभकामना भाई""",5 stars,0.4565674960613251,Very Positive
"र त्यसाे गर्ने जिवनमा सधैं सफल भाछन।""",5 stars,0.6059421896934509,Very Positive
"nabujhne le ho birod garne""",1 star,0.3568982481956482,Very Negative
" concept creation taw kuraii xoddim""",3 stars,0.2257353961467743,Neutral
"••• सबै टिमलाई बधाई ।""",1 star,0.3873046040534973,Very Negative
" समिक्ष्यालाई देखाएको पार्ट सुन्नुस अनि बुझ्नुस । ।   ❤""",3 stars,0.25268226861953735,Neutral
" सलाम छ प्रकाश सपूत बाग्लुङेको सान""",5 stars,0.2522076666355133,Very Positive
"""",3 stars,0.22428537905216217,Neutral
"....""",1 star,0.22410163283348083,Very Negative
" gala cha baba creation ra concept chai babaall huncha..ekdam fida chu ma.""",2 stars,0.3439532518386841,Negative
 India.,5 stars,0.25377944111824036,Very Positive
"prakash saput is a person who explains the mentality of society with his power of words with his lyrics.. hats off to you gentlemen""",4 stars,0.33609068393707275,Positive
" देवी घर्ती मगर र सम्पूर्ण टीम हरू लाई 🙏🙏😍😍""",5 stars,0.5532078146934509,Very Positive
" चेतनामुलक अनि तितो यथार्थ बोकेको गीत। साह्रै मन पर्‍यो। प्रकाश जी लाई शुभकामना।""",5 stars,0.3188767433166504,Very Positive
" भिडियो राम्रो तर अडियो सुनेर एकोहोरिन  मन लाग्ने सुन्दा . Love u prakash saput""",3 stars,0.30513259768486023,Neutral
" सबैमा अब्बल अब नायक बन्न बाकी मात्र फिल्मी पर्दामा ।यसोत उनी सदबाहार नायक इस्थापित भै सकेका छ्न।salute prakash.saput.साचै सपूत रहेछौं""",1 star,0.2982572615146637,Very Negative
"she has done magnificent job.""",5 stars,0.7159475088119507,Very Positive
" तै पनि तिम्रा यात्रा जारि नै छ  |शुभकामना Samikshya Adhikari""",5 stars,0.32990628480911255,Very Positive
" genuine and informative and at the same time it is also fun to watch and listen. Ita very good song.💚💚💚""",5 stars,0.5620359778404236,Very Positive
"अभिनय र संगीतको बेजोड मिलान छ ।मिक्सिङमा अलि मिलाएको भए अझै राम्रो हुने थियो।जस्तो धन कमाइ ल्याउल भनी गएका थियौ उडेर अकाशमा भन्दा घरबाट बिदा भएर निस्केर जाहजम उडेको छोटो झलक बिमानस्थालबाट बाहिर ल्याउदै गरेको real लासको बाकस अनि घरमा लगेपछि गाउँले सहितको reall रुवाइ लासलाई मुसार्दै आमा पनि रुदै झम्टेको दृश्य अन्तिमको प्रकाश सपुतले गाएको टुक्कमा बाबा या काका देखिएको भए मिसाएको भए  अझै राम्रो बन्ने थियो।""",2 stars,0.4442298412322998,Negative
" tei ni man bhardeina.""",1 star,0.3603474199771881,Very Negative
" """"आत्मासम्मान बेची बेची विदेशीको गुलाम…"""" र मधेसीलाई """"मेरो जीवन साइकलसंगै थोत्रो सिसी ले ले…"""" भनेर प्रस्तुत गरेको मलाई आपत्तिजनक लाग्यो । गीत व्यङ्ग्यको शैलीमा प्रस्तुत गर्नु ठिकै हो तर अलि सिमा नाघेको भान भयो ।""",2 stars,0.30583658814430237,Negative
 अति नै उत्कृष्ट गित छ याे । यस्ता गितहरू बिरलै बन्ने गर्दछन् । ,2 stars,0.4081538915634155,Negative
निर्मला ले पनि २० बर्ष पछी भयपनी न्याय पाउनुपर्छ  ।यति  नेपाल मा न्याय दीलाउनी जीउदै भय २० घन्टा पनि लाग्दैन  ,1 star,0.3086794316768646,Very Negative
" tasta haru aafai gaya hunxa nii ramro song""",1 star,0.3605973720550537,Very Negative
"👌👌👌💞💞💞""",5 stars,0.2638106942176819,Very Positive
" साह्रै घट लाग्यो 👍️👍️👍️""",1 star,0.3878764510154724,Very Negative
 ,4 stars,0.2846148908138275,Positive
" Shanti shree n all team 10M+ views pugos🙏❤️""",5 stars,0.6048381328582764,Very Positive
